question,category,option,number
,,no,5
,private_documents,yes,0
,,no,15
,essays,yes,5
,,no,10
,newspaper_articles,yes,7
,,no,8
,charters,yes,0
,,no,15
,inscriptions,yes,0
,,no,15
,files_records,yes,1
,,no,14
,protocols,yes,0
,,no,15
,scientific_papers,yes,3
,,no,12
,speech_transcripts,yes,2
,,no,13
,#other,yes,3
,,no,12
"What kind of information is published in addition to the texts?",introduction,yes,5
,,no,10
,commentary,yes,6
,,no,9
,context_material,yes,9
,,no,6
,bibliography,yes,6
,,no,9
,facsimile,yes,3
,,no,12
,#other,yes,4
,,no,11
,#none,yes,2
,,no,13
"Are the principles and decisions regarding the design of the text collection, its composition and the selection of texts documented?",,yes,7
,,no,8
"What selection criteria have been chosen for the text collection?",selection_language,yes,8
,,no,7
,selection_author,yes,2
,,no,13
,selection_country,yes,4
,,no,11
,selection_epoch,yes,8
,,no,7
,selection_genre,yes,9
,,no,6
,selection_topic,yes,0
,,no,15
,selection_style,yes,0
,,no,15
,selection_linguistic_characteristics,yes,2
,,no,13
,#other,yes,2
,,no,13
"How large is the text collection in number of texts/records?",texts_le10,yes,0
,,no,15
,texts_11-50,yes,0
,,no,15
,texts_51-100,yes,1
,,no,14
,texts_gt100_,yes,2
,,no,13
,texts_gt1000,yes,11
,,no,4
,#unknown,yes,1
,,no,14
"How large is the text collection in number of tokens?",tokens_lt100.000,yes,1
,,no,14
,tokens_100.000-1mio,yes,1
,,no,14
,tokens_gt1mio,yes,0
,,no,15
,tokens_gt10mio,yes,7
,,no,8
,#unknown,yes,6
,,no,9
"Does the text collection have identifiable sub-collections or components?",,yes,13
,,no,2
"Does the text collection record or transcribe the textual data for the first time?",,yes,11
,,no,4
"What kind of material has been taken over from other sources?",full_text,yes,12
,,no,3
,reuse_metadata,yes,9
,,no,6
,reuse_annotation,yes,3
,,no,12
,#other,yes,2
,,no,13
,#none,yes,1
,,no,14
"Has the quality of the data (transcriptions, metadata, annotations, etc.) been checked?",,yes,12
,,no,0
,,unknown,3
"Considering aims and methods of the text collection, how would you classify it further? For definitions please consider the help-texts.",typology_general_purpose,yes,3
,,no,12
,typology_corpus,yes,11
,,no,4
,typology_collection_records,yes,2
,,no,13
,typology_canon,yes,1
,,no,14
,typology_oeuvre,yes,1
,,no,14
,typology_reference_corpus,yes,3
,,no,12
,typology_contrastive_corpus,yes,0
,,no,15
,typology_parallel_corpus,yes,1
,,no,14
,typology_diachronic_corpus,yes,2
,,no,13
,#other,yes,0
,,no,15
"How are the textual sources represented in the digital collection?",normalized_transcription,yes,7
,,no,8
,orthographic_transcription,yes,2
,,no,13
,phonetic_transcription,yes,0
,,no,15
,diplomatic_transcription,yes,4
,,no,11
,transliteration,yes,1
,,no,14
,edited_text,yes,5
,,no,10
,translated_text,yes,2
,,no,13
,summarized_text,yes,1
,,no,14
,sampled_text,yes,0
,,no,15
,#other,yes,2
,,no,13
"In which basic format are the texts encoded?",plain_text,yes,1
,,no,14
,xml,yes,11
,,no,4
,html,yes,3
,,no,12
,#other,yes,2
,,no,13
"With what information are the texts further enriched?",semantic_annotations,yes,4
,,no,11
,linguistic_annotations,yes,5
,,no,10
,editorial_annotations,yes,4
,,no,11
,structural_information,yes,11
,,no,4
,#other,yes,2
,,no,13
,#none,yes,1
,,no,14
"How are the annotations linked to the texts themselves?",embedded,yes,10
,,no,5
,stand-off,yes,4
,,no,11
,#other,yes,0
,,no,15
,#not_applicable,yes,3
,,no,12
"What kind of metadata are included in the text collection?",descriptive,yes,12
,,no,3
,structural,yes,8
,,no,7
,administrative,yes,7
,,no,8
,#other,yes,0
,,no,15
,#none,yes,0
,,no,15
"On which level are the metadata included?",whole_collection,yes,5
,,no,10
,collection_parts,yes,5
,,no,10
,individual_texts,yes,12
,,no,3
,#other,yes,0
,,no,15
,#not_applicable,yes,0
,,no,15
"What kind of data/metadata/annotation schemas are used for the text collection?",standardized_schema,yes,3
,,no,12
,customized_standard_schema,yes,5
,,no,10
,project_specific,yes,4
,,no,11
,#none,yes,2
,,no,13
,#unknown,yes,2
,,no,13
"Which standards for text encoding, metadata and annotation are used in the text collection?",tei,yes,11
,,no,4
,cei,yes,1
,,no,14
,ead,yes,0
,,no,15
,xces,yes,0
,,no,15
,dublin_core,yes,3
,,no,12
,edm,yes,0
,,no,15
,mets,yes,0
,,no,15
,mods,yes,0
,,no,15
,skos,yes,0
,,no,15
,owl,yes,0
,,no,15
,imdi,yes,0
,,no,15
,cmdi,yes,1
,,no,14
,tcf,yes,0
,,no,15
,olac,yes,0
,,no,15
,eagles,yes,1
,,no,14
,pos_tagsets,yes,0
,,no,15
,#other,yes,2
,,no,13
,#none,yes,1
,,no,14
"Is the textual data accessible in a source format (e.g. XML, TXT)?",,yes,8
,,no,7
"Can the entire raw data of the project be downloaded (as a whole)?",,yes,5
,,no,10
"Are there technical interfaces which allow the reuse of the data of the text collection in other contexts?",OAI-PMH,yes,1
,,no,14
,REST,yes,2
,,no,13
,SPARQL_endpoint,yes,0
,,no,15
,general_API,yes,3
,,no,12
,#other,yes,2
,,no,13
,#none,yes,8
,,no,7
"Besides the textual data, does the project provide analytical data (e.g. statistics) to download or harvest?",,yes,5
,,no,10
"Can you use the data with other tools useful for this kind of content?",,yes,10
,,no,5
"Does the text collection have a dedicated user interface designed for the collection at hand in which the texts of the collection are represented and/or in which the data is analyzable?",,yes,14
,,no,1
"From your point of view, is the interface of the text collection clearly arranged and easy to navigate so that the user can quickly identify the purpose, the content and the main access methods of the resource?",,yes,11
,,no,3
"Does the project offer the possibility to browse the contents by simple browsing options or advanced structured access via indices (e.g. by author, year, genre)?",,yes,14
,,no,0
"Does the project offer a fulltext search?",,yes,12
,,no,2
"Does the project offer an advanced search?",,yes,11
,,no,3
"Does the text collection integrate tools for analyses of the data?",,yes,7
,,no,7
"Can the user alter the interface in order to affect the outcomes of representation and analysis of the text collection (besides basic search functionalities), e.g. by applying his or her own queries or by choosing analysis parameters?",,yes,4
,,no,10
"Does the text collection provide particular visualizations of the data?",networks,yes,0
,,no,14
,charts,yes,5
,,no,9
,treemaps,yes,1
,,no,13
,wordclouds,yes,0
,,no,14
,#other,yes,0
,,no,14
,no_visualization,yes,9
,,no,5
"Is there a personalisation mode that enables the users e.g. to create their own sub-collections of the existing text collection?",,yes,2
,,no,12
"Does the text collection provide sufficient documentation about the project in general as well as about the aims, contents and methods of the text collection?",,yes,8
,,no,7
"Is the text collection Open Access?",,yes,12
,,no,3
"Are the rights to (re)use the content declared?",,yes,13
,,no,2
"Under what license are the contents released?",CC0,yes,1
,,no,14
,CC-BY_only,yes,2
,,no,13
,CC-BY-ND,yes,0
,,no,15
,CC-BY-NC,yes,4
,,no,11
,CC-BY-SA,yes,1
,,no,14
,CC-BY-NC-ND,yes,0
,,no,15
,CC-BY-NC-SA,yes,3
,,no,12
,PDM,yes,1
,,no,14
,#other,yes,5
,,no,10
,no_license,yes,6
,,no,9
"Are there persistent identifiers and an addressing system for the text collection and/or parts/objects of it and which mechanism is used to that end?",DOI,yes,1
,,no,14
,ARK,yes,0
,,no,15
,URN,yes,1
,,no,14
,PURL.ORG,yes,0
,,no,15
,#other,yes,1
,,no,14
,persistent_URLs,yes,9
,,no,6
,#none,yes,3
,,no,12
"Does the text collection supply citation guidelines?",,yes,9
,,no,6
"Does the documentation include information about the long term sustainability of the basic data (archiving of the data)?",,yes,2
,,no,13
"Does the project provide information about institutional support for the curation and sustainability of the project?",,yes,8
,,no,7
"Is the text collection completed?",,yes,4
,,no,10
,,unknown,1
